,user,tweet,date,favorites,retweets
0,ambitchiious,"você usa droga, ama um baile de favela, abortou e VAI VOTAR NO BOZONARO???? PORRAAAAAAAA DROGADA",2018-10-27 20:59:33,1,0
1,ambitchiious,"o bozonaro foi ferido com uma arma branca, imagina o que seria dele caso o porte de arma foi legalizado??? como a vida é irônica",2018-09-06 16:37:13,0,0
2,kevysu1,fala cotista que apoia o bozonaro,2018-10-27 20:59:16,0,0
0,Rafaelaoueu1,"Tá passando a semana de Haddad no JN, como alguém consegue preferir salnorabo do que Haddad mano",2018-10-27 20:59:44,0,0
1,Rafaelaoueu1,"Meu pai falando mal do salnorabo pelo telefone com um amigo dele, eu amo um homem",2018-10-26 18:38:20,0,0
2,juupb_,"N acredito que vcs querem eleger o salnorabo, vcs são cegos vtnc",2018-10-27 20:59:31,5,2
3,juupb_,"Obg por esse momento amigos, agr eu vou apagar minhas publicações sobre o salnorabo pic.twitter.com/k9e9TraZFP",2018-10-07 20:57:52,3,1
0,tehrrorblack,"Aí a irmã vai lá e fala bem do bonoro e manda minha mãe vir conversar comigo. Aí eu falo mal do bonoro ela vai lá e falar pra irma que eu chamei bonoro de corrupto. E eu ai neh, cidade toda sabe de mim agora. Vou virar guerrilheira, é o jeito pic.twitter.com/VTOYtesdhC",2018-10-27 20:59:58,1,0
1,tehrrorblack,eleitores do bonoro argumentando frases clichês e repetidas pra passar pano na corrupção dele https://twitter.com/PicturesFoIder/status/1056261333254131715 …,2018-10-27 16:12:48,5,1
2,_tiagotico,"e não SUPORTO mais nenhuma rede social, é só campanha anti bonoro pra uma bolha em quem nem vota nele",2018-10-27 20:59:22,2,0
