pessoas públicas não devem ter medo de expor sua posição política c medo de gerar contenda com seus fãs. A verdade é q a democracia existe pra ser respeitada sem levar pro lado pessoal. E não posso deixar de levantar a #pois cansei de 8 anos com PT # MudaBrasil17 @ jairbolsonaro;1;
Os valores da família empurram a candidatura de Bolsonaro http://noticias.r7.com/prisma/coluna-do-fraga/os-valores-da-familia-empurram-a-candidatura-de-bolsonaro-28092018 …;
Tenhamos um domingo abençoado, a mudança começou, o gigante acordou, com a benção de Deus vamos as urnas eleger o messias Jair Bolsonaro presidente 17, a mudança é agora, que Deus nos abençoe.;1;
Esperando a matéria no JN tbm sobre Bolsonaro, até agora são quase 20min falando só do PT....;1;
# AmanhaBolsoDoria DATAFOLHA (votos válidos) Jair Bolsonaro: 55% Fernando Haddad: 45% # AcabouaPiranhagemPThttps://twitter.com/jdoriajr/status/1056326329975668737 …;1;
Pq vcs gostam de se iludir tanto? Confiar numa pesquisa CUT? A mesma que deu 2% a mais pro andrade e 6% a menos pro bolsonaro no 1º turno?;1;
Já viraram todas @ jairbolsonaro https://twitter.com/Marcelodedois/status/1055935975128514560 …;1;
Amanhã Bolsonaro Presidente do Brasil # AcabouaPiranhagemPThttps://twitter.com/bolsonaropb/status/1056313515064152064 …;1;
Show do Roger Waters em Curitiba. Um monte de gente com camiseta do Brasil e Bolsonaro. Brasil 2018.;1;
Gostei de um vídeo @ YouTube http://youtu.be/-ApIMA_FQHQ?aAO  VIVO: BOLSONARO FAZ ÚLTIMO PRONUNCIAMENTO PARA O BRASIL ÀS VÉSPERAS DO 2º;1;
DataFolha já perdeu a credibilidade há tempos. O objetivo dessa pesquisa nada mais é do que criar uma falsa oposição do povo a política de Bolsonaro.;1;
Ibope e data folha entrevista 3.000 pessoas no sertão da Paraíba ...kkkkkkkkkk vem aqui em São Paulo, Rio grande do sul, Minas gerais, Santa Catarina, fazer as pesquisas..;1;
No seu caso vc vota no PT por causa dos dólares q tu recebe pelo YouTube. Chega e fala a verdade p/ seu público. Caso bolsonaro entrar o dólar cai e vc toma no cu pic.twitter.com/lVAsnbsWOE;
é sim, mas ele não tá fazendo campanha pra ninguém. está só se manifestando contra o fascismo e bolsonaro. nem menciona o nome do haddad;0;
a única youtuber que acredito ter feito uma argumentação sincera, não caluniosas e coerente contra o bolsonaro nessa reta final foi a @ joutfuckinjout ela foi pro campo social que é onde tem matéria de sobra pra vc criticar ele sem usar falácias clássicas como a pec;
Está bem. Mas se você tiver pensando duas vezes, ainda dá tempo de votar pela democracia. Eu nem sou petista mas Bolsonaro não dá, e representa fascismo, retrocesso, ditadura, preconceito e violência, tudo que não precisamos... # pas.;0
Nossa opinião: Bolsonaro é o pior que nos pode acontecer @ congemfocohttps://congressoemfoco.uol.com.br/opiniao/editorial/nossa-opiniao-bolsonaro-e-o-pior-que-nos-pode-acontecer/ …;0;
